"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Home.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 2, 9, 69
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\InviteUser.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 10, 12, 193
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Login.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 1, 13, 170
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Profile.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 10, 18, 227
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Register.js", "JavaScript", 240, 0, 0, 0, 0, 0, 0, 0, 7, 23, 270
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\RequestPasswordReset.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 2, 10, 88
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\ResetPassword.js", "JavaScript", 237, 0, 0, 0, 0, 0, 0, 0, 4, 29, 270
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Settings.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 1, 7, 65
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\TwoFactorAuth.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\UserDetail.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 1, 9, 76
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\UserManagement.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 0, 14, 11, 296
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\UserPage.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 2, 4, 55
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\css\main.css", "CSS", 0, 0, 4010, 0, 0, 0, 0, 0, 44, 72, 4126
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\abstracts\_mixins.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 0, 4, 5, 22
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\abstracts\_variables.scss", "SCSS", 0, 52, 0, 0, 0, 0, 0, 0, 5, 8, 65
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\base\_reset.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 0, 2, 4, 11
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_button.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_contactoModal.scss", "SCSS", 0, 259, 0, 0, 0, 0, 0, 0, 18, 50, 327
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_crearServicioModal.scss", "SCSS", 0, 111, 0, 0, 0, 0, 0, 0, 5, 20, 136
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_footer.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_form.scss", "SCSS", 0, 61, 0, 0, 0, 0, 0, 0, 1, 11, 73
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_logo.scss", "SCSS", 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
